50 1225
32 33 15
32 35 10
32 36 10
32 38 30
32 42 15
32 43 30
32 47 30
32 49 30
33 2 30
33 5 30
33 7 10
33 9 30
33 10 15
33 14 15
33 15 15
33 17 10
33 21 10
33 26 30
33 27 10
33 29 30
33 35 15
33 36 15
33 37 10
33 41 30
33 42 30
33 48 30
33 49 10
34 1 30
34 2 30
34 5 15
34 6 30
34 7 10
34 9 15
34 11 10
34 12 10
34 14 30
34 16 10
34 17 30
34 18 30
34 23 30
34 24 15
34 25 15
34 27 15
34 30 30
34 31 30
34 32 15
34 33 15
34 36 10
34 38 15
34 39 15
34 41 15
34 44 10
34 45 15
34 46 10
34 47 30
34 49 10
35 1 30
35 3 30
35 6 10
35 11 10
35 14 30
35 16 10
35 18 10
35 20 10
35 23 15
35 27 10
35 29 30
35 34 10
35 38 10
35 40 15
35 42 15
35 43 15
35 44 10
35 46 10
35 48 10
35 49 15
36 1 30
36 3 30
36 4 15
36 6 10
36 13 30
36 14 15
36 16 15
36 17 10
36 18 15
36 22 30
36 24 30
36 28 30
36 30 30
36 31 10
36 35 15
36 38 10
36 43 15
36 44 15
36 45 10
36 46 15
36 49 10
37 1 30
37 2 30
37 3 30
37 4 10
37 5 10
37 8 15
37 12 15
37 14 10
37 17 15
37 19 30
37 20 15
37 21 15
37 26 10
37 27 15
37 28 30
37 29 30
37 30 15
37 31 30
37 32 10
37 34 30
37 35 30
37 36 30
37 44 30
37 47 15
37 49 30
38 1 15
38 2 30
38 3 30
38 6 30
38 8 10
38 10 10
38 12 30
38 14 10
38 15 30
38 16 15
38 18 10
38 19 15
38 21 10
38 23 30
38 25 30
38 26 15
38 28 10
38 29 15
38 30 15
38 31 30
38 33 30
38 37 10
38 39 15
38 42 30
38 43 15
38 46 10
38 47 30
38 49 30
39 1 10
39 3 10
39 5 15
39 7 10
39 9 30
39 10 15
39 11 10
39 12 15
39 13 30
39 14 15
39 18 30
39 21 30
39 23 10
39 25 30
39 27 15
39 29 15
39 31 15
39 32 10
39 33 30
39 35 10
39 36 30
39 37 10
39 41 15
39 42 10
39 44 15
39 47 15
39 48 15
39 49 10
40 1 15
40 2 15
40 4 10
40 5 10
40 6 10
40 7 30
40 8 15
40 9 30
40 10 10
40 18 10
40 21 15
40 22 10
40 29 15
40 32 10
40 33 30
40 34 15
40 36 10
40 37 10
40 38 15
40 39 10
40 41 15
40 44 15
40 46 15
40 49 10
41 2 10
41 8 10
41 13 10
41 15 30
41 16 10
41 17 10
41 18 30
41 19 15
41 22 30
41 23 30
41 26 10
41 27 15
41 28 30
41 29 10
41 30 10
41 32 10
41 35 10
41 36 10
41 37 15
41 38 30
41 47 30
41 48 10
41 49 10
42 1 10
42 2 10
42 3 10
42 4 15
42 5 15
42 7 15
42 14 15
42 15 10
42 19 15
42 20 10
42 23 15
42 24 30
42 26 30
42 27 10
42 28 10
42 29 30
42 31 15
42 34 30
42 36 30
42 37 15
42 40 10
42 41 10
42 46 30
42 47 30
42 48 15
42 49 10
43 1 10
43 3 15
43 4 15
43 10 15
43 11 15
43 12 15
43 13 15
43 15 15
43 16 15
43 17 10
43 19 10
43 20 15
43 21 15
43 23 10
43 24 10
43 25 10
43 30 10
43 31 10
43 33 30
43 34 10
43 37 10
43 39 10
43 40 15
43 41 15
43 42 30
43 44 10
43 46 30
43 49 15
44 3 15
44 6 30
44 7 30
44 10 30
44 12 15
44 15 15
44 17 30
44 20 10
44 23 30
44 24 30
44 26 15
44 27 30
44 32 15
44 33 10
44 38 10
44 41 10
44 42 30
44 45 30
44 49 10
45 2 30
45 4 10
45 6 30
45 7 30
45 8 10
45 10 15
45 13 10
45 17 15
45 18 10
45 20 10
45 21 15
45 26 10
45 27 30
45 28 15
45 30 10
45 31 10
45 32 15
45 33 30
45 35 30
45 37 30
45 38 15
45 39 15
45 40 10
45 41 30
45 42 15
45 43 15
45 47 10
45 48 30
45 49 10
46 1 10
46 3 10
46 5 30
46 8 30
46 9 10
46 12 30
46 13 10
46 18 15
46 19 15
46 20 30
46 21 15
46 22 15
46 24 30
46 25 30
46 30 30
46 31 10
46 32 30
46 33 15
46 37 10
46 39 10
46 41 10
46 44 30
46 45 10
46 47 30
46 49 10
47 3 30
47 6 10
47 7 15
47 8 30
47 9 15
47 11 30
47 13 10
47 14 10
47 20 10
47 21 30
47 23 10
47 25 10
47 26 10
47 29 10
47 33 15
47 35 15
47 36 10
47 40 15
47 43 10
47 44 10
47 48 15
47 49 15
48 1 30
48 8 30
48 11 10
48 12 10
48 13 10
48 14 30
48 20 10
48 21 10
48 24 10
48 25 10
48 28 30
48 30 15
48 32 30
48 34 15
48 36 15
48 37 10
48 38 10
48 40 15
48 43 15
48 44 15
48 46 10
48 49 30
